Division,Court,country,class,product,person,agent,Role,Town-Country,Longitude,Latitude
A,"10, 16, 22",USA,3. Substances used as Food,"Premium flour, manufactured by Earhart, Roberts & Co., of Winchester, Vir- ginia. Peter Sauerwein & Son, agents, 101 North Howard street, Baltimore, Maryland.","Earhart, Roberts & Co.",Peter Sauerwein & Son,manu.,"Winchester, Virginia",-78.1633341,39.1856597
A,"10, 16, 22",USA,3. Substances used as Food,"20 Specimens of smoked beef, cured hams, and pickled pork",H & T Witte,Robert H. Berdell & Co. ,manu.,"Cincinnati, Ohio",-84.51246,39.101454
A,"10, 16, 22",USA,3. Substances used as Food,"Specimens of smoked beef, cured hams, and pickled pork.",H. & T. Witte,Robert H. Berdell <fc Co.,prod.,"New York City, New York",-73.992122,40.702515
A,"10, 16, 22",USA,3. Substances used as Food,Specimens of American champagne,Q. & P. Bogen,Robert H. Berdell <fc Co.,prod.,"Cincinnati, Ohio",-84.5120196,39.1031182
A,"10, 16, 22",USA,3. Substances used as Food,"21 Specimens of cream sugar, an article composed of pure milk and refined sugar combined and granulated","Samuel Chapman, Jr","Samuel Chapman, Jr",agent,"New York City, NY",-73.986581,40.730599
A,"10, 16, 22",USA,3. Substances used as Food,"Specimens of cream sugar, an article composed of pure milk and refined sugar combined and granulated.","Samuel Chapman, Jr. ","Samuel Chapman, Jr. ",pat.,"New York City, New York",-74.0059413,40.7127837
A,"10, 16, 22",USA,3. Substances used as Food,Samples of Genesee flour.,William BC Carpenter,,agent,"New York City, New York",-73.959737,40.733487
A,"10, 16, 22",USA,3. Substances used as Food,Refined paints ground in oil.,Sinclair & Co.,,manu.,"New York City, New York",-74.004833,40.706125
A,"10, 16, 22",USA,3. Substances used as Food,Specimens of flowers of sulphur and roll brimstone.,Frederick Sohols,,manu.,"New York City, New York",-74.009412,40.712702
A,"10, 16, 22",USA,3. Substances used as Food,"Refined camphor, kreasote, naphthaline, benzole, oxyd of mercury (red pre- cipitate), proto-ehlorid of mercury (corrosive sublimate), sub-chlorid of mercury (calomel).",Charles Pfizer & Co.,,manu.,"New York City, New York",-74.011989,40.702836
A,"10, 16, 22",USA,3. Substances used as Food,"Specimens of ultramarine for calico-printing, manufacture of ink, paper, oil and water colors ; and lake for decorative painting, printing, &a.",Joseph Kohns- tamm,,manu.,"New York City, New York",-74.0059413,40.7127837
A,"10, 16, 22",USA,3. Substances used as Food,"Fine carmine, lake carmine, lake yellow, chrome green, sap green, pink and blue, colors for daguerreotypes ; varnishes for paper, shoes, <fec.",John Roux,,manu.,"New York City, New York",-74.005077,40.713968
A,"10, 16, 22",USA,3. Substances used as Food,"A chart of chemistry, representing chemical composition to the eye by co- lored diagrams, the areas of which express proportional quantities.",Youmans & Burdsall,,,"New York City, New York",-73.977754,40.679277
A,"10, 16, 22",USA,3. Substances used as Food,"Pure alcohol and deodorized cologne spirit, 98 per cent, made expressly for medical and chemical purposes, perfumery, &c",Christian Paoli,,manu.,"Springfield, Ohio",-83.8088171,39.9242266
A,"10, 16, 22",USA,3. Substances used as Food,"Alkaloids, resinoids, and allied principles","Wit. Elmer, M. D. and A. D. Hendrickson",,manu.,"New York City, New York",-74.149786,40.626643
A,"10, 16, 22",USA,3. Substances used as Food,Powdered drugs,"Williamson, Mann <Sc Co.",,manu.,"New York City, New York",-74.0059413,40.7127837
A,"10, 16, 22",USA,3. Substances used as Food,Specimens of fine cut tobacco of improved manufacture.,Bogqs & Co.,,manu.,"New York City, New York",-74.014378,40.708232
A,"10, 16, 22",USA,3. Substances used as Food,"Sulphate of quinine, chemically pure and free from cinchonine.",Horace Kiofrey & Co.,,manu.,"New York City, New York",-74.007261,40.704791
A,"10, 16, 22",USA,3. Substances used as Food,Specimens of patent fire and weather proof paint,William Blake,,manu.,"New York City, New York",-74.010089,40.703977
A,"10, 16, 22",USA,3. Substances used as Food,"Manufactured mustard, with crude and prepared spices, and other articles used in the process of manufacture.",William C. Wait,,manu.,"Baltimore, Maryland",-76.6121893,39.2903848
A,"10, 16, 22",USA,3. Substances used as Food,Mtric (aqua-fortis) and chloro-hydric (muriatic) acids ; chlorid and oxy-chlorid of tin ; aqua ammonia and other chemicals.,-John D. Perrin,,manu.,"Brooklyn, New York",-73.9441579,40.6781784
A,"10, 16, 22",USA,3. Substances used as Food,"Specimens of smoked beef, cured hams, and pickled pork.",H. & T. Witte,,prod.,"New York City, New York",-73.992122,40.702515
A,"10, 16, 22",USA,3. Substances used as Food,"Specimens of manufactured tobacco, of the Oronoco leaf.",Richard C. For- tune,,prod.,"St. Louis, Missouri",-90.1994042,38.6270025
A,"10, 16, 22",USA,3. Substances used as Food,"Chemicals and acids for the use of dyers and printers on cotton, woollen and other fabrics.",Thomas G. Jones,,manu.,"New York City, New York",-74.008131,40.737137
A,"10, 16, 22",USA,3. Substances used as Food,"Specimens of pickled oysters, lobsters, and many other alimentary preserves, in glass jars.","""Wardell & Pease",,manu.,"New York City, New York",-74.011821,40.720819
A,"10, 16, 22",USA,3. Substances used as Food,"Wheat and rye flour. Specimens of pearl barley, split peas, hominy, farina, oatmeal, <fec.",Miles & Peck,,manu.,"Yonkers, New York",-73.8987469,40.9312099
A,"10, 16, 22",USA,3. Substances used as Food,"Chocolate in plain and fancy style [in case, with confectionery, Section 29.]","J. Nazabie, Struelens & Co.",,manu.,"New York City, New York",-74.003306,40.714042
A,"10, 16, 22",USA,3. Substances used as Food,Specimens of ferro-eyanid of potassium (prussiate of potash).,"H. ""W. Worthington",,manu.,"Philadelphia, Pennsylvania",-75.1652215,39.9525839
A,"10, 16, 22",USA,3. Substances used as Food,"Specimens of essential oils, medicinal extracts, ifec, manufactured by the Shakers.","David Parker, trustee",,trustee,"Shaker Village, New Hampshire",-71.4907,43.3488
A,"10, 16, 22",USA,3. Substances used as Food,"Samples of Indian corn, grains, and various seeds. New-York State Agri- cultural Society.","(B. J. Johnson, cor. sec.,)",,cor. sec.,"Albany, New York",-73.7562317,42.6525793
A,"10, 16, 22",USA,3. Substances used as Food,Specimens of articles manufactured from cereal grains.,Hecker & Brother,,manu.,"New York City, New York",-73.991781,40.710863
A,"10, 16, 22",USA,3. Substances used as Food,"Specimens of mustard, prepared in American, French, English, and German styles.",G. C. Giesen,,manu.,"New York City, New York",-74.0059413,40.7127837
A,"10, 16, 22",USA,3. Substances used as Food,"Sugar manufactured directly from the cane, by a new process.",P. M. La Pice,,prod.,"St. James, Louisiana",-90.7913227,30.0179292
A,"10, 16, 22",USA,3. Substances used as Food,"Cutch, sal-soda, nitrate of tin, indigo paste, nitrate of iron, Ac.",Piepenbring & Co.,,manu.,"New York City, New York",-73.873338,40.68482
A,"10, 16, 22",USA,3. Substances used as Food,"Magnetic powder for the destruction of insects and vermin without poison. Emanuel Lyon, manu. 424 Broadway, New-York City.",Emanuel Lyon,,manu.,"New York City, New York",-74.001362,40.719567
A,"10, 16, 22",USA,3. Substances used as Food,"Specimens of chrome green, Chinese blue and American vermilion.",Jamb A. H. Bell,,manu.,"New York City, New York",-74.0059413,40.7127837
A,"10, 16, 22",USA,3. Substances used as Food,"Specimens of stove polish and black for coach painters.-^J. & J. L. Sbabdry, manu. 156 Chrystie street, New- York City.",J. & J. L. Sbabdry,,manu.,"New York City, New York",-73.992616,40.720289
A,"10, 16, 22",USA,3. Substances used as Food,Specimens of mammoth indian corn of prolific yield.,Maj. Robert Butler Young,,prod.,"Calhoun, Georgia",-84.9510542,34.502587
A,"10, 16, 22",USA,3. Substances used as Food,"Samples of Cincinnati mustard, manufactured from western brown seed.","Harrison, Eaton & Co.",,manu.,"Cincinnati, Ohio",-84.5120196,39.1031182
A,"10, 16, 22",USA,3. Substances used as Food,Samples of fine teas in small packages.,Joseph D. Evans,,,"New York City, New York",-74.00547,40.708953
A,"10, 16, 22",USA,3. Substances used as Food,"Specimens of cologne spirits, deodorized alcohol, and pure spirits.",William Sill & Co.,,manu.,"Chicago, Illinois",-87.6297982,41.8781136
A,"10, 16, 22",USA,3. Substances used as Food,"Samples of pure mustard; chocolate, plain, spiced, and sweetened.",Jos. B. Crommelin,,manu.,"Brooklyn, New York",-73.9441579,40.6781784
A,"10, 16, 22",USA,3. Substances used as Food,"Samples of plain and fancy vermicelli, macaroni, &e.",Belllns & Voqel,,manu.,"New York City, New York",-74.147366,40.631373
A,"10, 16, 22",USA,3. Substances used as Food,Specimens of fine flour and pearl barley.,Raymond & Schuyler,,manu.,"West Farms, New York",-73.8816001,40.8430609
A,"10, 16, 22",USA,3. Substances used as Food,Double refined nitrate of potash (saltpetre).,George R. Hendrickson,,manu.,"New York City, New York",-74.008981,40.712502
A,"10, 16, 22",USA,3. Substances used as Food,"Meats, fish, and other preserves, hermetically sealed.",F. Peteler,,manu.,"New York City, New York",-74.0059413,40.7127837
A,"10, 16, 22",USA,3. Substances used as Food,Specimens of highly refined sugar.,Havemeyers & Moller,,sugar refiners,"New York City, New York",-73.992273,40.702528
A,"10, 16, 22",USA,3. Substances used as Food,Calcined magnesia.,Thomas J. Husband,,cor.,"Philadelphia, Pennsylvania",-75.1652215,39.9525839
A,"10, 16, 22",USA,3. Substances used as Food,Medicine chests and medicinal preparations.,"Rushton, Clark & Co.",,manu.,"New York City, New York",-73.898054,40.889709
A,"10, 16, 22",USA,3. Substances used as Food,Specimens of the essence of Java coffee.,E. L. Szadeczky,,manu.,"New York City, New York",-74.004875,40.709838
A,"10, 16, 22",USA,3. Substances used as Food,Wash-blue manufactured from ultramarine.,Augustus Bower,,manu.,"New York City, New York",-73.99058,40.716787
A,"10, 16, 22",USA,3. Substances used as Food,Veterinary medicine chest and medicines.,Charles Wilis,,manu.,"New York City, New York",-73.991798,40.734229
A,"10, 16, 22",USA,3. Substances used as Food,Chemical preparations.,A. Lansing & Co.,,manu.,"Philadelphia, Pennsylvania",-75.1652215,39.9525839
A,"10, 16, 22",USA,3. Substances used as Food,Specimens of refined gelatine.,"Bodine, Baeder & Co.",,,"Philadelphia, Pennsylvania",-75.1652215,39.9525839
A,"10, 16, 22",USA,3. Substances used as Food,An assortment of prepared chocolates.,Joseph Govaerts,,manu.,"New York City, New York",-73.988295,40.692531
A,"10, 16, 22",USA,3. Substances used as Food,Specimens of ship bread and crackers.,"Mason, Ball & Co.",,manu.,"New York City, New York",-74.001159,40.708198
A,"10, 16, 22",USA,3. Substances used as Food,Specimens of family flour.,J. S. Welch,,manu.,"Shenandoah Mills, Virginia",,
A,"10, 16, 22",USA,3. Substances used as Food,Samples of best manufactured Virginia tobacco.,"""William H. Tallman",,,"New York City, New York",-74.008373,40.704611
A,"10, 16, 22",USA,3. Substances used as Food,Samples of black-lead crucibles.,Daniel Adee,,manu. & agent,"New York City, New York",-74.006641,40.709761
A,"10, 16, 22",USA,3. Substances used as Food,Samples of fine cut chewing and smoking tobacco.,"Simeon B. ""Williams",,manu.,"Cincinnati, Ohio",-84.5120196,39.1031182
A,"10, 16, 22",USA,3. Substances used as Food,Superior pine-apple cheese.,Morell D. Bowen,,manu.,"South Osselic, New York",-75.7813028,42.6467349
A,"10, 16, 22",USA,3. Substances used as Food,Specimens of mustard and ground spices.,Chas. W Walker,,,"Brooklyn, New York",-73.9441579,40.6781784
A,"10, 16, 22",USA,3. Substances used as Food,Specimens of powdered drugs.,"Haskell, Merrick & Bull",,manu.,"New York City, New York",-74.006982,40.707488
A,"10, 16, 22",USA,3. Substances used as Food,"Mineral paint, crude and manufactured.",Charles A. Mott,,manu.,"Lansingburg, New York",-73.6695624,42.7845222
A,"10, 16, 22",USA,3. Substances used as Food,Prepared crystal for polishing.,Hastings & Co.,,manu.,"New York City, New York",-74.004077,40.70767
A,"10, 16, 22",USA,3. Substances used as Food,Refined paints ground in oil.,Sinclair <fc Co.,,manu.,"New York City, New York",-74.004833,40.706125
A,"10, 16, 22",USA,3. Substances used as Food,Various samples of segars.,Julian Allen,,manu. & imp,"New York City, New York",-74.007022,40.705637
A,"10, 16, 22",USA,3. Substances used as Food,Specimens of flour prepared by a new mill.,Charles Rose,,manu.,"Rochester, New York",-77.6109219,43.16103
A,"10, 16, 22",USA,3. Substances used as Food,Artists' colors on porcelain.,Oppe & Schmuhl,,manu.,"New York City, New York",-73.938145,40.700282
A,"10, 16, 22",USA,3. Substances used as Food,Specimens of bronze powder.,L. Brandeis & Co.,,manu.,"New York City, New York",-74.010103,40.708191
A,"10, 16, 22",USA,3. Substances used as Food,"Samples of black oats, hominy and pop-corn.",W. Mosely,,prod.,"New Madrid, Missouri",-89.5278547,36.5864488
A,"10, 16, 22",USA,3. Substances used as Food,Samples of manufactured tobacco and segars.,Wm. H. Watson,,manu.,"Brooklyn, New York",-73.9441579,40.6781784
A,"10, 16, 22",USA,3. Substances used as Food,A fine assortment of chemicals.,Powers & Wightman,,manu.,"Philadelphia, Pennsylvania",-75.1652215,39.9525839
A,"10, 16, 22",USA,3. Substances used as Food,Ultramarine blue and green.,Adolphus Gomm,,manu.,"New York City, New York",-74.090629,40.640588
A,"10, 16, 22",USA,3. Substances used as Food,Sample of superfine Genesee flour.,C. J. Hills <fe Son,,manu.,"Rochester, New York",-77.6109219,43.16103
A,"10, 16, 22",USA,3. Substances used as Food,"Fine specimens of bichromate of potash.-^TEssE Ttson, Jr. manu. Baltimore, Maryland.","TEssE Ttson, Jr.",,manu.,"Baltimore, Maryland",-76.6121893,39.2903848
A,"10, 16, 22",USA,3. Substances used as Food,"Water, sugar, and soda crackers.",Rhodes & Verner,,manu.,"Pittsburgh, Pennsylvania",-79.9958864,40.4406248
A,"10, 16, 22",USA,3. Substances used as Food,Specimens of manufactured mustard.,-John P. Weber,,manu.,"Beverly, Massachusetts",-70.880049,42.5584283
A,"10, 16, 22",USA,3. Substances used as Food,"Specimens of cured hams. John Shays '& Co., 346 Walnut street, Cincin- nati, Ohio.",John Shays '& Co.,,,"Cincinnati, Ohio",-84.5120196,39.1031182
A,"10, 16, 22",USA,3. Substances used as Food,Brussels health mustard.,J. L. Labiaux,,manu.,"New York City, New York",-73.951996,42.796542
A,"10, 16, 22",USA,3. Substances used as Food,Specimens of saleratus.,Thomas Andrews,,manu.,"New York City, New York",-74.013911,40.710064
A,"10, 16, 22",USA,3. Substances used as Food,Specimens of saleratus.,Lawrence Grinnell,,manu.,"New Bedford, Massachusetts",-70.934205,41.6362152
A,"10, 16, 22",USA,3. Substances used as Food,Fine chemical colors.,Wm. Hardegg,,manu.,"New York City, New York",-74.006882,40.709514
A,"10, 16, 22",USA,3. Substances used as Food,Manufactured tobacco.,Blow & March,,manu.,"New York City, New York",-74.008182,40.704522
A,"10, 16, 22",USA,3. Substances used as Food,"Bacon, .hams.",James C. Adams,,prod.,"Baltimore, Maryland",-76.6121893,39.2903848
A,"10, 16, 22",USA,3. Substances used as Food,Citrate of magnesia.,Samuel C. Sheppard,,manu.,"Philadelphia, Pennsylvania",-75.1652215,39.9525839
A,"10, 16, 22",USA,3. Substances used as Food,Specimen of salt.,"Ruffner, Donally & Co.",,manu.,"Kanawha Salines, Virginia",-81.5571,38.3007
A,"10, 16, 22",USA,3. Substances used as Food,Samples of cocoa.,"""Walter Baker & Co.",,manu.,"New York City, New York",-74.005772,40.704698
A,"10, 16, 22",USA,3. Substances used as Food,Fine Havana segars.,Cook & Favarger,,manu.,"New York City, New York",-74.115438,40.626369
A,"10, 16, 22",USA,3. Substances used as Food,Specimens of large white corn.,Thompson,,prod.,"New Madrid, Missouri",-89.5278547,36.5864488
A,"10, 16, 22",USA,3. Substances used as Food,Specimens of extra superfine flour.,Isaac Hawk,,manu.,"Navarre, Ohio",-81.5220653,40.7245032
A,"10, 16, 22",USA,3. Substances used as Food,Samples of fine cut tobacco.,Henry Miller,,prod.,"Detroit, Michigan",-83.0457538,42.331427
A,"10, 16, 22",USA,3. Substances used as Food,Chemical manure.,George A Lienau,,manu.,"Philadelphia, Pennsylvania",-75.1652215,39.9525839
A,"10, 16, 22",USA,3. Substances used as Food,Fine chrome colors.,"G. N. Popplein, Jr.",,manu.,"Baltimore, Maryland",-76.6121893,39.2903848
A,"10, 16, 22",USA,3. Substances used as Food,"Samples of Catawba wine, Frederick Frincke, prod. Hermann, Missouri.",Frederick Frincke,,prod.,"Hermann, Missouri",-91.4373844,38.7042119
A,"10, 16, 22",USA,3. Substances used as Food,Manufactured tobacco.,Chas. W. McCall,,manu.,"St. Louis, Missouri",-90.1994042,38.6270025
A,"10, 16, 22",USA,3. Substances used as Food,Samples of flour.,Wm. T. Hazard & Co.,,manu.,"St. Louis, Missouri",-90.1994042,38.6270025
A,"10, 16, 22",USA,3. Substances used as Food,Samples of Catawba wine.,C. J. Wolf,,prod.,"Washington, Missouri",-91.0120878,38.5581072
A,"10, 16, 22",USA,3. Substances used as Food,Samples of Catawba wine.,Wm. Glasgow,,prod.,"St. Louis, Missouri",-90.1994042,38.6270025
A,"10, 16, 22",USA,3. Substances used as Food,Samples of large yellow corn.,Byrne,,prod.,"New Madrid, Missouri",-89.5278547,36.5864488
A,"10, 16, 22",USA,3. Substances used as Food,Samples of rice.,E. T. Heriot,,prod.,"Charleston, South Carolina",-79.9310512,32.7764749
A,"10, 16, 22",USA,3. Substances used as Food,"Samples of Catawba wine, Michael Paschal, prod. Hermann, Missouri.",Michael Paschal,,prod.,"Hermann, Missouri",-91.4373844,38.7042119
A,"10, 16, 22",USA,3. Substances used as Food,Samples of flour.,A S. Robaros & Son,,manu.,"Hannibal, Missouri",-91.3584816,39.7083789
A,"10, 16, 22",USA,3. Substances used as Food,Samples of wheat.,P. L. S. Verdin,,prod.,"St. Charles, Missouri",-90.4974359,38.7881062
A,"10, 16, 22",USA,3. Substances used as Food,Black-lead crucibles.,Phoenix Manufacturing Co.,,,"Taunton, Massachusetts",-71.0897674,41.900101
A,"10, 16, 22",USA,3. Substances used as Food,Kentucky leaf tobacco.,"Tabb, Lyon & Co.",,prod.,"Dover, Kentucky",-83.8829813,38.7581273
A,"10, 16, 22",USA,3. Substances used as Food,Samples of Catawba wine.,Jacob Romel,,prod.,"Hermann, Missouri",-91.4373844,38.7042119
A,"10, 16, 22",USA,3. Substances used as Food,Specimens of mustard.,Dixon & Darst,,manu.,"Cincinnati, Ohio",-84.5120196,39.1031182
A,"10, 16, 22",USA,3. Substances used as Food,Sample of Oregon white wheat.,Hugh Burns,,prod.,"Oregon City, Oregon",-122.6067583,45.3573429
A,"10, 16, 22",USA,3. Substances used as Food,Samples of flour.,Joseph Powell,,manu.,"St. Louis, Missouri",-90.1994042,38.6270025
A,"10, 16, 22",USA,3. Substances used as Food,Samples of white oats.,Laforge,,prod.,"New Madrid, Missouri",-89.5278547,36.5864488
A,"10, 16, 22",USA,3. Substances used as Food,Leaf tobacco.,Wm. G. Bryant,,prod.,"Warington, Missouri",-91.1391977,38.8211845
A,"10, 16, 22",USA,3. Substances used as Food,A sheaf of wheat.,Charles Suydam,,prop.,"California, California",-119.4179,36.7783
A,"10, 16, 22",USA,3. Substances used as Food,Catawba wine.,John H. Boller,,,"Bonville, Missouri",-92.7432418,38.9736392
A,"10, 16, 22",USA,3. Substances used as Food,Potatoes.,^Wm. Blackburn,,prop.,"California, California",-119.4179,36.7783
A,"10, 16, 22",USA,3. Substances used as Food,22 Specimens of fine cut tobacco of improved manufacture,Bogqs & Co,,manu.,"New York City, NY",-73.986581,40.730599
A,"10, 16, 22",USA,3. Substances used as Food,23 Specimens of manufactured mustard,John P Weber,,manu.,"Beverly, Massachusetts",-70.880049,42.558428
A,"10, 16, 22",USA,3. Substances used as Food,25 An assortment of prepared chocolates,Joseph Govaerts,,manu.,"New York City, NY",-73.986581,40.730599
A,"10, 16, 22",USA,3. Substances used as Food,"26 Wheat and rye flour, Specimens of pearl barley, split peas, hominy, farina, oatmeal, <fec",Miles & Peck,,manu.,"Yonkers, NY",-73.898747,40.93121
A,"10, 16, 22",USA,3. Substances used as Food,"27 Samples of Indian corn, grains, and various seeds","New-York State Agri- cultural Society, BJ Johnson",,,"Albany, NY",-73.754968,42.651167
A,"10, 16, 22",USA,4. Vegetable and Animal Substances,22 Specimen bale of American dressed hemp,Hon John J Hunter,"Agents, Jno",prod.,"Lexington, KY",-90.197889,38.627273
A,"10, 16, 22",USA,4. Vegetable and Animal Substances,Patent distilled chemical sperm candles.,Frederick DesBrosses,"also @ 33 South Street, NYC",manu.,"Manhattanville, New York",-73.9558333,40.8169443
A,"10, 16, 22",USA,4. Vegetable and Animal Substances,Samples of Genesee flour,W. B. Carpenter,Carpenter,,"New York City, NY",-73.959737,40.733487
A,"10, 16, 22",USA,4. Vegetable and Animal Substances,"18 Various specimens of imperishable timber, prepared in Rochester, New- York, on the patent method of Charles Payne of England",Charles B Stuart,Charles B Stuart,agent,"New York City, NY",-73.986581,40.730599
A,"10, 16, 22",USA,4. Vegetable and Animal Substances,"Various specimens of imperishable timber, prepared in Rochester, New- York, on the patent method of Charles Payne of England.",Charles B. Stuart,Charles B. Stuart,agent,"New York City, New York",-73.986895,40.740506
A,"10, 16, 22",USA,4. Vegetable and Animal Substances,"Specimens of superfine American wool in the fleece, from the best imported stock.",Coates & Brown,Coates & Brown,agent,"Philadelphia, Pennsylvania",-75.1652215,39.9525839
A,"10, 16, 22",USA,4. Vegetable and Animal Substances,"29 Specimens of superfine American wool in the fleece, from the best imported stock","Coates & Brown, agents, 43 Market street, Philadelphia, Pennsylvania","Coates & Brown, agents, 43 Market street, Philadelphia, Pennsylvania",agent,"Philadelphia, PA",-100.445882,39.78373
A,"10, 16, 22",USA,4. Vegetable and Animal Substances,Munsell's refined siccative oil for artists' use.,John H Quthbert,John H Quthbert,agent,"New York City, New York",-74.009495,40.71099
A,"10, 16, 22",USA,4. Vegetable and Animal Substances,Samples of potato starch used extensively by cotton manufacturers.,Lock- woods & Ortis,Lockwoods & Ortis,agent,"Troy, New York",-73.6917851,42.7284117
A,"10, 16, 22",USA,4. Vegetable and Animal Substances,Samples of leaf tobacco,MN Beery,MN Beery,agent,"Balitimore, Maryland",-100.445882,39.78373
